,Country,Korea,Korea,Korea,Korea,Korea,China,China,China,China,China,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Thailand,Thailand,Thailand,Thailand,Thailand,Singapore,Singapore,Singapore,Singapore,Singapore,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Philippines,Philippines,Philippines,Philippines,Philippines,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,India,India,India,India,India,Middle East,Middle East,Middle East,Middle East,Middle East,Israel,Israel,Israel,Israel,Israel,Turkey,Turkey,Turkey,Turkey,Turkey,GCC,GCC,GCC,GCC,GCC,Macau,Macau,Macau,Macau,Macau,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Asia Unclassified,Asia Unclassified,Asia Unclassified,Asia Unclassified,Asia Unclassified,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,France,France,France,France,France,Germany,Germany,Germany,Germany,Germany,Italy,Italy,Italy,Italy,Italy,Russia,Russia,Russia,Russia,Russia,Spain,Spain,Spain,Spain,Spain,Sweden,Sweden,Sweden,Sweden,Sweden,Netherland,Netherland,Netherland,Netherland,Netherland,Swiss,Swiss,Swiss,Swiss,Swiss,Belgium,Belgium,Belgium,Belgium,Belgium,Finland,Finland,Finland,Finland,Finland,Poland,Poland,Poland,Poland,Poland,Denmark,Denmark,Denmark,Denmark,Denmark,Norway,Norway,Norway,Norway,Norway,Austria,Austria,Austria,Austria,Austria,Portugal,Portugal,Portugal,Portugal,Portugal,Ireland,Ireland,Ireland,Ireland,Ireland,Europe Unclassified,Europe Unclassified,Europe Unclassified,Europe Unclassified,Europe Unclassified,Africa,Africa,Africa,Africa,Africa,U.S.A.,U.S.A.,U.S.A.,U.S.A.,U.S.A.,Canada,Canada,Canada,Canada,Canada,Mexico,Mexico,Mexico,Mexico,Mexico,North America Unclassified,North America Unclassified,North America Unclassified,North America Unclassified,North America Unclassified,Brazil,Brazil,Brazil,Brazil,Brazil,South America Unclassified,South America Unclassified,South America Unclassified,South America Unclassified,South America Unclassified,Australia,Australia,Australia,Australia,Australia,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,Oceania Unclassified,Oceania Unclassified,Oceania Unclassified,Oceania Unclassified,Oceania Unclassified
Year,Month,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion
1996,January,"89,392","51,814","23,453","10,713","3,412","21,505","1,538","5,007","12,589","2,371","33,746","24,891","5,205","3,639",11,"7,204","4,212","2,074",417,501,"3,614",708,"1,281","1,183",442,"2,578",719,"1,314",534,11,"2,186",804,"1,184",198,0,"2,738",555,644,"1,051",488,"5,044",871,896,"2,857",420,,,,,,"2,046",202,998,598,248,,,,,,327,93,184,50,0,,,,,,,,,,,,,,,,,,,,,"3,410",811,"1,022","1,364",213,"11,702","3,579","5,066","3,049",8,"4,041","1,023","1,977","1,041",0,"4,943","1,295","2,691",956,1,"1,922",418,"1,166",338,0,"1,897",525,339,861,172,723,209,377,137,0,"1,221",324,728,169,0,"1,310",353,772,185,0,"1,096",372,595,129,0,581,186,291,104,0,579,204,288,87,0,,,,,,641,177,339,125,0,430,128,251,51,0,593,161,233,197,2,,,,,,842,239,243,360,0,"1,783",406,497,787,93,933,196,260,463,14,"44,265","14,482","19,187","10,596",0,"7,879","3,652","1,545","2,675",7,509,206,150,153,0,292,118,76,,,"3,984","3,356",172,390,66,"1,185",658,142,362,23,"6,676","2,164","1,292","1,834","1,386","1,940",821,539,579,1,146,26,30,78,12
1996,February,"73,878","41,380","25,475","5,088","1,935","14,876","1,400","3,056","8,348","2,072","61,453","55,635","4,053","1,761",4,"18,852","16,050","1,777",327,698,"4,076","1,475","1,575",592,434,"4,577","3,150","1,037",388,2,"3,974","2,840","1,030",103,1,"3,729","1,208",535,797,"1,189","4,177",982,940,"1,897",358,,,,,,"1,729",199,"1,111",330,89,,,,,,714,379,291,44,0,,,,,,,,,,,,,,,,,,,,,"2,475",633,961,738,143,"10,216","4,339","5,181",696,0,"3,668","1,248","2,109",311,0,"5,559","2,220","2,856",483,0,"1,794",465,"1,249",80,0,"1,572",403,557,429,183,884,267,500,117,0,"1,154",319,730,105,0,"1,440",452,905,83,0,"1,202",458,683,61,0,496,149,318,29,0,531,233,272,26,0,,,,,,598,199,356,43,0,491,162,303,26,0,767,360,298,109,0,,,,,,521,223,234,64,0,"1,555",586,520,421,28,748,126,328,278,16,"37,176","15,117","18,847","3,209",3,"5,892","3,766","1,557",569,0,483,287,116,80,0,242,121,61,,,"4,013","3,469",168,317,59,941,482,180,266,13,"5,194","1,591","1,548",668,"1,387","1,677",739,726,208,4,113,36,31,42,4
1996,March,"74,250","35,576","28,047","9,436","1,191","21,066","1,945","4,720","12,003","2,398","53,728","44,421","5,474","3,832",1,"13,013","9,900","2,232",477,404,"5,454","2,081","2,092",896,385,"4,743","1,505","2,005","1,231",2,"3,213","1,554","1,503",156,0,"2,836",728,824,693,591,"4,988","1,351","1,053","2,135",449,,,,,,"1,815",311,"1,034",401,69,,,,,,572,265,262,45,0,,,,,,,,,,,,,,,,,,,,,"3,184",770,"1,221","1,039",154,"14,017","6,883","5,927","1,205",2,"4,898","1,688","2,559",651,0,"7,369","3,165","3,512",692,0,"2,178",788,"1,247",143,0,"2,104",663,627,512,302,"1,176",455,619,102,0,"1,545",491,918,136,0,"2,024",706,"1,175",143,0,"1,480",615,773,92,0,725,219,447,59,0,703,235,394,74,0,,,,,,878,299,507,72,0,584,208,336,40,0,855,385,387,83,0,,,,,,733,355,269,109,0,"2,076",868,669,495,44,990,164,498,309,19,"51,507","24,431","21,848","5,226",2,"7,567","4,673","1,852","1,041",1,818,488,222,108,0,353,166,100,,,"5,082","4,238",324,477,43,"1,178",590,294,268,26,"8,205","3,065","1,903","1,045","2,192","2,441","1,203",885,353,0,156,56,36,52,12
1996,April,"78,579","41,980","28,338","7,730",531,"18,047","2,179","5,069","8,361","2,438","64,554","56,436","5,268","2,850",0,"14,908","12,083","2,057",368,400,"8,976","5,617","1,937",725,697,"4,820","2,239","1,741",838,2,"4,744","3,254","1,348",141,1,"3,302","1,141",836,874,451,"5,819","2,082","1,010","2,140",587,,,,,,"2,005",540,"1,016",389,60,,,,,,589,239,279,71,0,,,,,,,,,,,,,,,,,,,,,"3,443","1,042","1,136","1,093",172,"13,114","6,005","5,483","1,626",0,"5,388","2,488","2,244",656,0,"6,442","2,745","3,049",648,0,"2,274",845,"1,185",244,0,"2,080",716,664,458,242,"1,065",362,569,134,0,"1,546",539,861,146,0,"1,811",695,993,123,0,"1,644",765,750,129,0,788,308,412,68,0,577,214,311,52,0,,,,,,854,323,467,64,0,543,209,290,44,0,793,380,319,94,0,,,,,,727,320,264,143,0,"2,021",939,517,531,34,956,224,415,307,10,"52,141","25,721","20,073","6,347",0,"7,698","4,832","1,698","1,168",0,634,400,145,89,0,319,145,82,,,"4,967","4,321",232,357,57,"1,363",846,239,261,17,"6,929","2,796","1,596","1,081","1,456","2,373","1,242",781,350,0,261,116,41,89,15
1996,May,"81,678","45,169","29,690","6,278",541,"20,713","2,181","5,924","9,670","2,938","62,251","54,288","6,101","1,861",1,"11,626","8,475","2,416",253,482,"5,872","2,405","2,248",727,492,"5,064","2,492","2,012",552,8,"4,958","3,083","1,743",131,1,"3,429","1,007","1,037",915,470,"6,768","2,037","1,336","2,354","1,041",,,,,,"2,639",653,"1,412",458,116,,,,,,585,225,315,45,0,,,,,,,,,,,,,,,,,,,,,"3,823",908,"1,619","1,101",195,"11,723","4,384","6,155","1,181",3,"4,767","1,572","2,447",748,0,"6,909","2,402","3,633",874,0,"2,411",744,"1,362",305,0,"2,104",648,637,618,201,"1,031",363,558,110,0,"1,348",363,893,92,0,"1,665",577,974,114,0,"1,429",550,801,78,0,697,257,380,60,0,670,220,401,49,0,,,,,,778,271,444,63,0,486,150,309,27,0,811,350,354,107,0,,,,,,681,236,276,169,0,"2,177",710,817,624,26,"1,104",198,494,394,18,"51,872","25,643","21,258","4,969",2,"7,400","4,457","1,885","1,058",0,655,364,190,101,0,485,199,123,,,"4,114","3,585",275,204,50,"1,518",950,295,259,14,"7,285","2,226","2,032",758,"2,269","2,197","1,030",956,211,0,211,72,43,82,14
1996,June,"73,941","39,452","28,481","4,749","1,259","18,703","2,289","6,115","6,485","3,814","63,835","57,163","5,508","1,164",0,"17,407","14,037","2,329",271,770,"4,313","1,378","2,005",524,406,"4,391","2,190","1,874",320,7,"5,623","4,087","1,435",101,0,"5,168","2,133",872,671,"1,492","5,703","1,661","1,166","2,176",700,,,,,,"2,460",601,"1,324",377,158,,,,,,552,217,310,25,0,,,,,,,,,,,,,,,,,,,,,"3,411",921,"1,402",875,213,"10,617","3,910","5,686","1,021",0,"4,644","1,567","2,654",423,0,"5,080","1,680","3,070",330,0,"1,957",638,"1,169",148,2,"2,353","1,209",429,535,180,"1,116",496,541,79,0,"1,234",460,708,66,0,"1,400",444,887,69,0,"1,205",407,732,66,0,640,185,414,41,0,515,225,261,29,0,,,,,,645,256,354,35,0,435,156,257,22,0,657,262,322,73,0,,,,,,606,281,226,99,0,"1,663",712,526,375,50,996,247,416,318,15,"52,069","27,618","20,589","3,855",7,"6,006","3,617","1,612",774,3,840,550,209,81,0,333,133,99,,,"4,203","3,682",252,196,73,"1,326",774,262,261,29,"8,018","2,701","1,867",579,"2,871","2,086","1,154",766,166,0,287,104,75,81,27
1996,July,"98,646","62,764","26,773","4,317","4,792","18,793","2,956","5,277","7,281","3,279","88,230","81,947","5,100","1,183",0,"22,185","19,132","2,118",254,681,"4,800","1,659","2,097",570,474,"3,609","1,475","1,819",312,3,"2,851","1,308","1,445",97,1,"5,016","1,524",912,943,"1,637","5,613","1,597","1,064","2,241",711,,,,,,"2,401",487,"1,368",381,165,,,,,,582,304,233,45,0,,,,,,,,,,,,,,,,,,,,,"4,008","1,506","1,331",888,283,"12,407","5,812","5,018","1,577",0,"5,143","2,635","2,020",488,0,"6,159","2,864","2,848",447,0,"2,375",944,"1,239",192,0,"3,199","1,717",512,809,161,991,489,437,65,0,"1,141",525,526,90,0,"1,522",670,687,165,0,"1,441",753,624,64,0,888,529,309,50,0,642,401,190,51,0,,,,,,720,409,255,56,0,463,235,203,25,0,740,411,226,103,0,,,,,,645,288,208,149,0,"2,153","1,234",432,435,52,"1,278",515,420,324,19,"51,786","27,646","18,298","5,839",3,"7,656","5,174","1,321","1,161",0,"1,031",737,171,123,0,560,230,99,,,"5,477","4,821",249,378,29,"1,316",878,185,233,20,"7,686","2,777","1,775",823,"2,311","2,325","1,295",721,309,0,354,209,81,45,19
1996,August,"107,339","70,499","19,856","10,744","6,240","21,988","2,881","3,822","12,597","2,688","67,624","59,920","4,182","3,522",0,"19,618","16,888","1,624",440,666,"4,039","1,236","1,699",734,370,"3,349","1,274","1,423",642,10,"2,413","1,166",994,253,0,"2,912",984,750,857,321,"5,673","1,317",863,"2,978",515,,,,,,"2,103",399,"1,007",587,110,,,,,,565,254,215,96,0,,,,,,,,,,,,,,,,,,,,,"3,829","1,213","1,044","1,345",227,"10,761","5,082","3,484","2,195",0,"4,466","2,217","1,356",893,0,"5,363","2,249","2,241",873,0,"2,078",953,706,419,0,"2,958","1,668",400,669,221,"1,153",638,408,107,0,"1,205",366,575,264,0,"1,263",497,550,216,0,"1,144",449,511,184,0,577,231,225,121,0,463,169,201,93,0,,,,,,746,291,336,119,0,479,149,208,122,0,580,310,189,81,0,,,,,,601,262,143,196,0,"2,139","1,322",303,461,53,"1,237",371,308,530,28,"44,269","20,288","14,698","9,283",0,"6,969","3,999","1,126","1,843",1,585,379,98,108,0,438,204,55,,,"4,315","3,601",244,399,71,"1,221",676,187,302,56,"6,208","2,090","1,290","1,411","1,417","1,833",815,609,409,0,199,63,29,100,7
1996,September,"73,200","39,335","25,569","7,753",543,"23,480","3,111","5,837","11,189","3,343","57,546","48,245","5,629","3,672",0,"10,712","7,336","2,541",447,388,"5,171","1,514","2,437",962,258,"3,977","1,230","1,947",796,4,"3,261","1,482","1,608",169,2,"3,600","1,127","1,091","1,006",376,"6,124","1,485","1,294","2,966",379,,,,,,"2,836",522,"1,610",570,134,,,,,,640,352,225,63,0,,,,,,,,,,,,,,,,,,,,,"4,632","1,258","1,747","1,455",172,"11,229","3,725","5,824","1,679",1,"4,718","1,591","2,274",853,0,"6,411","2,433","3,301",677,0,"2,619",752,"1,259",608,0,"2,213","1,035",453,574,151,"1,293",524,631,138,0,"1,435",383,925,127,0,"1,973",629,"1,078",266,0,"1,514",588,814,112,0,734,246,413,75,0,696,186,342,168,0,,,,,,839,281,475,83,0,564,216,302,46,0,785,288,288,209,0,,,,,,658,270,236,151,1,"2,162",772,754,606,30,"1,430",274,495,645,16,"48,859","21,625","21,740","5,489",5,"6,464","3,342","1,778","1,344",0,749,431,194,124,0,475,210,131,,,"4,386","3,808",301,235,42,"1,541",942,258,309,32,"9,969","4,628","2,223",971,"2,147","2,532","1,376",928,228,0,266,63,84,95,24
