year,month,country,region,total,tourist,business,others,short_excursion
1996,April,Africa,Africa,956,224,415,307,10
1996,April,Asia Unclassified,Asia,3443,1042,1136,1093,172
1996,April,Australia,Oceania,6929,2796,1596,1081,1456
1996,April,Austria,Europe,793,380,319,94,0
1996,April,Belgium,Europe,788,308,412,68,0
1996,April,Brazil,South America,4967,4321,232,357,57
1996,April,Canada,North America,7698,4832,1698,1168,0
1996,April,China,Asia,18047,2179,5069,8361,2438
1996,April,Denmark,Europe,854,323,467,64,0
1996,April,Europe Unclassified,Europe,2021,939,517,531,34
1996,April,Finland,Europe,577,214,311,52,0
1996,April,France,Europe,5388,2488,2244,656,0
1996,April,Germany,Europe,6442,2745,3049,648,0
1996,April,Hong Kong,Asia,14908,12083,2057,368,400
1996,April,India,Asia,2005,540,1016,389,60
1996,April,Indonesia,Asia,3302,1141,836,874,451
1996,April,Ireland,Europe,727,320,264,143,0
1996,April,Israel,Asia,589,239,279,71,0
1996,April,Italy,Europe,2274,845,1185,244,0
1996,April,Korea,Asia,78579,41980,28338,7730,531
1996,April,Malaysia,Asia,4744,3254,1348,141,1
1996,April,Mexico,North America,634,400,145,89,0
1996,April,Netherland,Europe,1811,695,993,123,0
1996,April,New Zealand,Oceania,2373,1242,781,350,0
1996,April,North America Unclassified,North America,319,145,82,,
1996,April,Norway,Europe,543,209,290,44,0
1996,April,Oceania Unclassified,Oceania,261,116,41,89,15
1996,April,Philippines,Asia,5819,2082,1010,2140,587
1996,April,Russia,Europe,2080,716,664,458,242
1996,April,Singapore,Asia,4820,2239,1741,838,2
1996,April,South America Unclassified,South America,1363,846,239,261,17
1996,April,Spain,Europe,1065,362,569,134,0
1996,April,Sweden,Europe,1546,539,861,146,0
1996,April,Swiss,Europe,1644,765,750,129,0
1996,April,Taiwan,Asia,64554,56436,5268,2850,0
1996,April,Thailand,Asia,8976,5617,1937,725,697
1996,April,U.S.A.,North America,52141,25721,20073,6347,0
1996,April,United Kingdom,Europe,13114,6005,5483,1626,0
1996,August,Africa,Africa,1237,371,308,530,28
1996,August,Asia Unclassified,Asia,3829,1213,1044,1345,227
1996,August,Australia,Oceania,6208,2090,1290,1411,1417
1996,August,Austria,Europe,580,310,189,81,0
1996,August,Belgium,Europe,577,231,225,121,0
1996,August,Brazil,South America,4315,3601,244,399,71
1996,August,Canada,North America,6969,3999,1126,1843,1
1996,August,China,Asia,21988,2881,3822,12597,2688
1996,August,Denmark,Europe,746,291,336,119,0
1996,August,Europe Unclassified,Europe,2139,1322,303,461,53
1996,August,Finland,Europe,463,169,201,93,0
1996,August,France,Europe,4466,2217,1356,893,0
1996,August,Germany,Europe,5363,2249,2241,873,0
1996,August,Hong Kong,Asia,19618,16888,1624,440,666
1996,August,India,Asia,2103,399,1007,587,110
1996,August,Indonesia,Asia,2912,984,750,857,321
1996,August,Ireland,Europe,601,262,143,196,0
1996,August,Israel,Asia,565,254,215,96,0
1996,August,Italy,Europe,2078,953,706,419,0
1996,August,Korea,Asia,107339,70499,19856,10744,6240
1996,August,Malaysia,Asia,2413,1166,994,253,0
1996,August,Mexico,North America,585,379,98,108,0
1996,August,Netherland,Europe,1263,497,550,216,0
1996,August,New Zealand,Oceania,1833,815,609,409,0
1996,August,North America Unclassified,North America,438,204,55,,
1996,August,Norway,Europe,479,149,208,122,0
1996,August,Oceania Unclassified,Oceania,199,63,29,100,7
1996,August,Philippines,Asia,5673,1317,863,2978,515
1996,August,Russia,Europe,2958,1668,400,669,221
1996,August,Singapore,Asia,3349,1274,1423,642,10
1996,August,South America Unclassified,South America,1221,676,187,302,56
1996,August,Spain,Europe,1153,638,408,107,0
1996,August,Sweden,Europe,1205,366,575,264,0
1996,August,Swiss,Europe,1144,449,511,184,0
1996,August,Taiwan,Asia,67624,59920,4182,3522,0
1996,August,Thailand,Asia,4039,1236,1699,734,370
1996,August,U.S.A.,North America,44269,20288,14698,9283,0
1996,August,United Kingdom,Europe,10761,5082,3484,2195,0
1996,December,Africa,Africa,744,225,269,225,25
1996,December,Asia Unclassified,Asia,3009,984,968,818,239
1996,December,Australia,Oceania,7254,3323,1200,651,2080
1996,December,Austria,Europe,585,251,207,127,0
1996,December,Belgium,Europe,522,204,288,30,0
1996,December,Brazil,South America,2575,2277,125,115,58
1996,December,Canada,North America,6412,4437,1263,710,2
1996,December,China,Asia,16879,2186,4999,5816,3878
1996,December,Denmark,Europe,599,288,278,33,0
1996,December,Europe Unclassified,Europe,1670,767,519,311,73
1996,December,Finland,Europe,690,398,234,58,0
1996,December,France,Europe,4071,1751,1871,449,0
1996,December,Germany,Europe,4881,2126,2407,348,0
1996,December,Hong Kong,Asia,13118,10730,1674,177,537
1996,December,India,Asia,1953,343,999,400,211
